Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,27.03,27.20,26.91,26.97,16900,26.97
2013-09-26,27.00,27.56,26.81,27.25,34900,27.25
2013-09-25,26.92,27.56,26.90,26.91,19000,26.91
2013-09-24,26.93,27.25,26.81,27.03,21600,27.03
2013-09-23,26.87,27.25,26.75,26.92,21700,26.92
2013-09-20,27.18,27.35,26.50,27.11,67100,27.11
2013-09-19,27.20,27.43,26.77,27.17,31800,27.17
2013-09-18,27.39,27.39,26.75,27.07,39800,27.07
2013-09-17,26.58,27.59,26.31,27.42,38700,27.42
2013-09-16,27.75,27.77,26.51,26.54,38200,26.54
2013-09-13,27.24,27.60,27.00,27.41,24200,27.41
2013-09-12,27.89,27.94,27.14,27.15,37100,27.15
2013-09-11,27.96,28.10,27.61,27.98,30600,27.98
2013-09-10,27.79,28.43,27.79,28.08,51000,28.08
2013-09-09,27.32,28.12,27.32,27.86,73300,27.86
2013-09-06,27.50,27.68,27.01,27.10,60900,27.10
2013-09-05,27.56,27.89,27.25,27.29,42500,27.29
2013-09-04,27.78,27.78,27.30,27.50,39200,27.50
2013-09-03,27.47,27.84,27.37,27.76,48500,27.76
2013-08-30,28.45,28.45,27.00,27.01,105000,27.01
2013-08-29,28.31,28.60,28.10,28.44,39300,28.44
2013-08-28,27.48,28.39,27.48,28.27,44900,28.27
2013-08-27,28.47,28.47,27.70,27.90,74600,27.90
2013-08-26,29.20,29.20,28.50,28.80,51900,28.80
2013-08-23,29.60,29.60,28.75,29.25,31500,29.25
2013-08-22,28.67,29.61,28.54,29.42,62200,29.42
2013-08-21,28.82,29.06,28.57,28.62,31800,28.62
2013-08-20,28.65,28.96,28.59,28.82,58600,28.82
2013-08-19,29.38,29.41,28.60,28.66,49700,28.66
2013-08-16,29.24,29.49,29.00,29.38,76400,29.38
2013-08-15,29.58,29.77,29.01,29.36,97800,29.36
2013-08-14,30.25,30.75,29.85,29.88,58200,29.88
2013-08-13,30.00,30.37,29.36,30.30,59100,30.30
2013-08-12,29.85,30.36,29.85,29.99,47400,29.99
2013-08-09,30.45,30.55,29.79,29.91,54000,29.91
2013-08-08,29.61,31.05,29.61,30.48,93000,30.48
2013-08-07,29.21,29.59,29.08,29.34,50000,29.34
2013-08-06,29.54,29.60,29.27,29.37,39500,29.37
2013-08-05,29.51,29.88,29.30,29.74,57700,29.74
2013-08-02,29.20,29.61,28.92,29.51,57500,29.51
2013-08-01,28.68,29.44,28.19,29.20,97800,29.20
2013-07-31,28.60,29.08,27.98,28.67,54200,28.67
2013-07-30,28.93,29.45,28.27,28.62,60500,28.62
2013-07-29,29.54,29.69,28.81,28.92,74000,28.92
2013-07-26,29.42,29.75,29.26,29.64,36700,29.64
2013-07-25,29.07,29.86,28.94,29.76,95900,29.76
2013-07-24,29.88,29.88,29.01,29.12,43300,29.12
2013-07-23,29.75,29.94,29.50,29.68,66400,29.68
2013-07-22,29.49,29.91,29.12,29.58,81500,29.58
2013-07-19,30.12,30.37,29.03,29.58,136100,29.58
2013-07-18,33.20,33.95,29.37,30.04,429400,30.04
2013-07-17,32.54,33.08,31.78,32.68,264400,32.68
2013-07-16,32.24,32.75,32.10,32.50,241000,32.50
2013-07-15,29.99,32.39,29.79,32.12,272400,32.12
2013-07-12,29.07,29.98,29.01,29.92,49400,29.92
2013-07-11,29.70,29.98,28.89,29.14,81400,29.14
2013-07-10,29.13,29.60,29.00,29.43,80500,29.43
2013-07-09,29.45,29.50,29.10,29.28,50300,29.28
